# Список
23. Marker ID: 879 , Average Detection Rate: 64.01%
24. Marker ID: 912 , Average Detection Rate: 63.82%
25. Marker ID: 901 , Average Detection Rate: 63.12%
26. Marker ID: 899 , Average Detection Rate: 61.91%
27. Marker ID: 873 , Average Detection Rate: 60.60%
28. Marker ID: 909 , Average Detection Rate: 59.33%
29. Marker ID: 881 , Average Detection Rate: 58.91%
30. Marker ID: 885 , Average Detection Rate: 56.67%
31. Marker ID: 893 , Average Detection Rate: 51.93%
32. Marker ID: 844 , Average Detection Rate: 50.07%
33. Marker ID: 905 , Average Detection Rate: 47.76%
34. Marker ID: 223 , Average Detection Rate: 44.48%
35. Marker ID: 347 , Average Detection Rate: 40.87%
36. Marker ID: 891 , Average Detection Rate: 40.35%
1. Marker ID: 875 , Average Detection Rate: 96.61%
2. Marker ID: 876 , Average Detection Rate: 94.55%
3. Marker ID: 928 , Average Detection Rate: 93.19%
4. Marker ID: 962 , Average Detection Rate: 91.83%
5. Marker ID: 932 , Average Detection Rate: 88.31%
6. Marker ID: 953 , Average Detection Rate: 87.12%
7. Marker ID: 878 , Average Detection Rate: 85.37%
8. Marker ID: 930 , Average Detection Rate: 85.21%
9. Marker ID: 957 , Average Detection Rate: 84.50%
10. Marker ID: 958 , Average Detection Rate: 84.42%
11. Marker ID: 877 , Average Detection Rate: 83.21%
12. Marker ID: 951 , Average Detection Rate: 82.88%
13. Marker ID: 956 , Average Detection Rate: 82.33%
14. Marker ID: 949 , Average Detection Rate: 82.31%
15. Marker ID: 940 , Average Detection Rate: 80.18%
16. Marker ID: 948 , Average Detection Rate: 80.11%
17. Marker ID: 927 , Average Detection Rate: 79.32%
18. Marker ID: 935 , Average Detection Rate: 78.23%
19. Marker ID: 955 , Average Detection Rate: 78.04%
20. Marker ID: 926 , Average Detection Rate: 77.96%
21. Marker ID: 939 , Average Detection Rate: 75.29%
22. Marker ID: 950 , Average Detection Rate: 74.91%
23. Marker ID: 916 , Average Detection Rate: 73.74%
24. Marker ID: 922 , Average Detection Rate: 73.50%
25. Marker ID: 915 , Average Detection Rate: 71.41%
26. Marker ID: 938 , Average Detection Rate: 70.96%
27. Marker ID: 937 , Average Detection Rate: 66.84%
28. Marker ID: 914 , Average Detection Rate: 66.51%
29. Marker ID: 947 , Average Detection Rate: 65.15%
30. Marker ID: 931 , Average Detection Rate: 64.49%
31. Marker ID: 882 , Average Detection Rate: 55.80%
32. Marker ID: 921 , Average Detection Rate: 51.51%
33. Marker ID: 920 , Average Detection Rate: 47.50%
34. Marker ID: 945 , Average Detection Rate: 46.44%

